#Parameters = {beta=0.6; bunch=3.6; conductivity=10000; l=20; l_pipe=40; nmesh=50; r=10; r_pipe=2; samples=2000; wakelength=400; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / cm"	"Z (beta=0.6) [Real Part]"
#-----------------------------------
-39.827082522904	-2.8178124717714e-14
-39.796379958184	-2.7988429515762e-14
-39.765677393464	-2.6641186666952e-14
-39.734974828744	-2.5051356789691e-14
-39.704272264024	-2.4261739496882e-14
-39.673569699304	-2.3420201731998e-14
-39.642867134584	-2.3456526030236e-14
-39.612164569864	-2.3432195599569e-14
-39.581462005144	-2.4208022197558e-14
-39.550759440424	-2.4781004445512e-14
-39.520056875704	-2.5985033427143e-14
-39.489354310984	-2.6748737315951e-14
-39.458651746264	-2.7902433962867e-14
-39.427949181544	-2.8469280907646e-14
-39.397246616824	-2.9341002940018e-14
-39.366544052104	-2.9521129325502e-14
-39.335841487384	-2.9901691999782e-14
-39.305138922664	-2.9602868322686e-14
-39.274436357944	-2.9590365527111e-14
-39.243733793224	-2.8908902617337e-14
-39.213031228504	-2.8540888751846e-14
-39.182328663784	-2.7604936530694e-14
-39.151626099064	-2.7085042629437e-14
-39.120923534344	-2.6106134951639e-14
-39.090220969624	-2.5616937814317e-14
-39.059518404904	-2.4786360033007e-14
-39.028815840184	-2.4531194378569e-14
-38.998113275464	-2.3967121365376e-14
-38.967410710744	-2.4033294095937e-14
-38.936708146024	-2.3850469534503e-14
-38.906005581304	-2.4325668118542e-14
-38.875303016584	-2.4534134681044e-14
-38.844600451864	-2.5319720527292e-14
-38.813897887144	-2.5711325338186e-14
-38.783195322424	-2.6572155489795e-14
-38.752492757704	-2.6922278524278e-14
-38.721790192984	-2.7504568218414e-14
-38.691087628264	-2.7461719236623e-14
-38.660385063545	-2.7657916679291e-14
-38.629682498825	-2.7155492858517e-14
-38.598979934105	-2.6869679504586e-14
-38.568277369385	-2.5945641984588e-14
-38.537574804665	-2.5309695703413e-14
-38.506872239945	-2.4069377024688e-14
-38.476169675225	-2.3170792949546e-14
-38.445467110505	-2.1830128827108e-14
-38.414764545785	-2.0959785543360e-14
-38.384061981065	-1.9006305490443e-14
-38.353359416345	-1.6821612189560e-14
-38.322656851625	-1.5391562770627e-14
-38.291954286905	-1.3919041347082e-14
-38.261251722185	-1.3237136182537e-14
-38.230549157465	-1.2613324832200e-14
-38.199846592745	-1.2832222587722e-14
-38.169144028025	-1.2925336360323e-14
-38.138441463305	-1.3662354230781e-14
-38.107738898585	-1.4073590128804e-14
-38.077036333865	-1.4932363363967e-14
-38.046333769145	-1.5220174456448e-14
-38.015631204425	-1.5674675206719e-14
-37.984928639705	-1.5513607581923e-14
-37.954226074985	-1.5573687512712e-14
-37.923523510265	-1.4963163556714e-14
-37.892820945545	-1.4570587636756e-14
-37.862118380825	-1.3552193748246e-14
-37.831415816105	-1.2745321360744e-14
-37.800713251385	-1.1385443123101e-14
-37.770010686665	-1.0344450774964e-14
-37.739308121945	-8.8330141174530e-15
-37.708605557225	-7.6666604226160e-15
-37.677902992505	-6.0974804489535e-15
-37.647200427785	-5.0147393321257e-15
-37.616497863065	-3.6712849353228e-15
-37.585795298345	-2.8853865016559e-15
-37.555092733625	-1.9336762792521e-15
-37.524390168905	-1.6596783199846e-15
-37.493687604185	-1.1330912548889e-15
-37.462985039465	-1.1108750500301e-15
-37.432282474745	-8.1079650511020e-16
-37.401579910025	-9.2399166802660e-16
-37.370877345305	-4.3272554067646e-16
-37.340174780585	2.7104806249126e-17
-37.309472215865	1.0295848376545e-15
-37.278769651145	1.8378220466929e-15
-37.248067086425	3.5005513485881e-15
-37.217364521705	5.2974780259423e-15
-37.186661956985	7.9374129587500e-15
-37.155959392265	1.0696957426697e-14
-37.125256827545	1.4118295417718e-14
-37.094554262825	1.7310227471672e-14
-37.063851698105	2.0926299795478e-14
-37.033149133385	2.4095535385673e-14
-37.002446568665	2.7575494135802e-14
-36.971744003945	3.0634258742286e-14
-36.941041439225	3.4539751858343e-14
-36.910338874505	3.8615387505196e-14
-36.879636309785	4.2254196867047e-14
-36.848933745065	4.5937940067346e-14
-36.818231180345	4.9012771009323e-14
-36.787528615625	5.2124923726616e-14
-36.756826050905	5.4695434449973e-14
-36.726123486185	5.7419852227676e-14
-36.695420921465	5.9824291271336e-14
-36.664718356745	6.2569239636372e-14
-36.634015792025	6.5036781178741e-14
-36.603313227305	6.8127896791705e-14
-36.572610662585	7.1346750597452e-14
-36.541908097865	7.5240433883662e-14
-36.511205533145	7.9131312901964e-14
-36.480502968425	8.3746433824442e-14
-36.449800403705	8.8467351508911e-14
-36.419097838985	9.3766679821057e-14
-36.388395274265	9.9007510283354e-14
-36.357692709545	1.0483346741500e-13
-36.326990144825	1.1064050978717e-13
-36.296287580105	1.1697552986060e-13
-36.265585015385	1.2334861342755e-13
-36.234882450665	1.3030475680535e-13
-36.204179885945	1.3736752189355e-13
-36.173477321225	1.4500130533425e-13
-36.142774756505	1.5259834410602e-13
-36.112072191785	1.6067372104111e-13
-36.081369627065	1.6859774394790e-13
-36.050667062345	1.7709894485149e-13
-36.019964497625	1.8565120442991e-13
-35.989261932905	1.9480070230283e-13
-35.958559368185	2.0400956247594e-13
-35.927856803465	2.1377780015793e-13
-35.897154238745	2.2356082478122e-13
-35.866451674025	2.3396965107022e-13
-35.835749109305	2.4456914402567e-13
-35.805046544585	2.5601239652364e-13
-35.774343979865	2.6793966803360e-13
-35.743641415145	2.8100400183220e-13
-35.712938850425	2.9478195095399e-13
-35.682236285705	3.0983705548610e-13
-35.651533720985	3.2572171820622e-13
-35.620831156265	3.4281213845987e-13
-35.590128591545	3.6057392250306e-13
-35.559426026825	3.7952073884743e-13
-35.528723462105	3.9909658379323e-13
-35.498020897385	4.2006107302475e-13
-35.467318332665	4.4192485175326e-13
-35.436615767945	4.6408350132004e-13
-35.405913203225	4.8684989789129e-13
-35.375210638505	5.0969066100810e-13
-35.344508073785	5.3317401348209e-13
-35.313805509065	5.5696547628849e-13
-35.283102944345	5.8160466002972e-13
-35.252400379625	6.0675211052438e-13
-35.221697814905	6.3311168645169e-13
-35.190995250185	6.6045554686660e-13
-35.160292685465	6.8931401012757e-13
-35.129590120745	7.1940677732542e-13
-35.098887556025	7.5126232990366e-13
-35.068184991305	7.8459149447239e-13
-35.037482426585	8.2005436359520e-13
-35.006779861865	8.5736010506304e-13
-34.976077297145	8.9683716065053e-13
-34.945374732425	9.3814320829475e-13
-34.914672167705	9.8175148966521e-13
-34.883969602985	1.0272644412660e-12
-34.853267038265	1.0750004054487e-12
-34.822564473545	1.1246107847832e-12
-34.791861908825	1.1765514764853e-12
-34.761159344105	1.2304448288930e-12
-34.730456779385	1.2866387743815e-12
-34.699754214665	1.3448320993756e-12
-34.669051649945	1.4053830306119e-12
-34.638349085225	1.4680929535740e-12
-34.607646520505	1.5333905011393e-12
-34.576943955785	1.6011717055654e-12
-34.546241391065	1.6718905976193e-12
-34.515538826345	1.7455086189203e-12
-34.484836261625	1.8225864380055e-12
-34.454133696905	1.9030829543700e-12
-34.423431132185	1.9876221409864e-12
-34.392728567465	2.0761445130765e-12
-34.362026002745	2.1692738559929e-12
-34.331323438025	2.2669278226359e-12
-34.300620873305	2.3694557584396e-12
-34.269918308585	2.4767223960792e-12
-34.239215743865	2.5891111454013e-12
-34.208513179145	2.7064178371673e-12
-34.177810614425	2.8290833785664e-12
-34.147108049705	2.9569523240497e-12
-34.116405484985	3.0904523474282e-12
-34.085702920265	3.2294006430379e-12
-34.055000355545	3.3744210651943e-12
-34.024297790825	3.5254688905906e-12
-33.993595226105	3.6825404852473e-12
-33.962892661385	3.8461508998236e-12
-33.932190096665	4.0163658692019e-12
-33.901487531945	4.1937435443852e-12
-33.870784967225	4.3783848106286e-12
-33.840082402505	4.5709813452240e-12
-33.809379837785	4.7716466490150e-12
-33.778677273065	4.9811128452564e-12
-33.747974708345	5.1996322504339e-12
-33.717272143625	5.4279327204095e-12
-33.686569578905	5.6663419513802e-12
-33.655867014185	5.9154323813842e-12
-33.625164449466	6.1754355062615e-12
-33.594461884745	6.4471714464954e-12
-33.563759320026	6.7309314071846e-12
-33.533056755306	7.0274059672950e-12
-33.502354190586	7.3369510349953e-12
-33.471651625866	7.6602664192113e-12
-33.440949061146	7.9976812442485e-12
-33.410246496426	8.3498900532882e-12
-33.379543931706	8.7171771326438e-12
-33.348841366986	9.1002807376272e-12
-33.318138802266	9.4996846923695e-12
-33.287436237546	9.9161743195431e-12
-33.256733672826	1.0350260290127e-11
-33.226031108106	1.0802816123322e-11
-33.195328543386	1.1274426990989e-11
-33.164625978666	1.1766226492787e-11
-33.133923413946	1.2279028635009e-11
-33.103220849226	1.2813960529233e-11
-33.072518284506	1.3371988156099e-11
-33.041815719786	1.3954232805521e-11
-33.011113155066	1.4561606739512e-11
-32.980410590346	1.5195485652142e-11
-32.949708025626	1.5856834275108e-11
-32.919005460906	1.6547108420835e-11
-32.888302896186	1.7267416863251e-11
-32.857600331466	1.8019138726009e-11
-32.826897766746	1.8803384824468e-11
-32.796195202026	1.9621474585565e-11
-32.765492637306	2.0474515055142e-11
-32.734790072586	2.1364145036691e-11
-32.704087507866	2.2291695848676e-11
-32.673384943146	2.3258786301692e-11
-32.642682378426	2.4266838545919e-11
-32.611979813706	2.5317800937132e-11
-32.581277248986	2.6413248493174e-11
-32.550574684266	2.7554842708874e-11
-32.519872119546	2.8744847098269e-11
-32.489169554826	2.9985249517801e-11
-32.458466990106	3.1278128875614e-11
-32.427764425386	3.2625665913420e-11
-32.397061860666	3.4030303182903e-11
-32.366359295946	3.5494329540493e-11
-32.335656731226	3.7020448200745e-11
-32.304954166506	3.8611195240273e-11
-32.274251601786	4.0269475576536e-11
-32.243549037066	4.1998076033080e-11
-32.212846472346	4.3800113300656e-11
-32.182143907626	4.5678573688969e-11
-32.151441342906	4.7636794583006e-11
-32.120738778186	4.9677985502590e-11
-32.090036213466	5.1805812401929e-11
-32.059333648746	5.4023729457410e-11
-32.028631084026	5.6335562235020e-11
-31.997928519306	5.8745066948261e-11
-31.967225954586	6.1256255043441e-11
-31.936523389866	6.3873083369442e-11
-31.905820825146	6.6599977344262e-11
-31.875118260426	6.9441347535602e-11
-31.844415695706	7.2401852727016e-11
-31.813713130986	7.5486191506621e-11
-31.783010566266	7.8699649023169e-11
-31.752308001546	8.2047480138257e-11
-31.721605436826	8.5535293124021e-11
-31.690902872106	8.9168829755691e-11
-31.660200307386	9.2954333977368e-11
-31.629497742666	9.6898152788139e-11
-31.598795177946	1.0100696688224e-10
-31.568092613226	1.0528761194460e-10
-31.537390048506	1.0974729458573e-10
-31.506687483786	1.1439340250019e-10
-31.475984919066	1.1923361559635e-10
