           x [mm]           y [mm]           z [mm]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
Sample 1 time=0.7
       -24.854151         13.15808       -49.708302                0                0                0
       -21.930133         13.15808       -49.708302                0                0                0
       -19.006115         13.15808       -49.708302                0                0                0
       -16.082098         13.15808       -49.708302                0                0                0
        -13.15808         13.15808       -49.708302                0                0                0
       -10.234062         13.15808       -49.708302                0                0                0
       -7.3100443         13.15808       -49.708302                0                0                0
       -4.3860266         13.15808       -49.708302                0                0                0
       -1.4620089         13.15808       -49.708302                0                0                0
        1.4620089         13.15808       -49.708302                0                0                0
        4.3860266         13.15808       -49.708302                0                0                0
        7.3100443         13.15808       -49.708302                0                0                0
        10.234062         13.15808       -49.708302                0                0                0
         13.15808         13.15808       -49.708302                0                0                0
        16.082098         13.15808       -49.708302                0                0                0
        19.006115         13.15808       -49.708302                0                0                0
        21.930133         13.15808       -49.708302                0                0                0
        24.854151         13.15808       -49.708302                0                0                0
       -24.854151        16.082098       -49.708302                0                0                0
       -21.930133        16.082098       -49.708302                0                0                0
       -19.006115        16.082098       -49.708302                0                0                0
       -16.082098        16.082098       -49.708302                0                0                0
        -13.15808        16.082098       -49.708302                0                0                0
       -10.234062        16.082098       -49.708302                0                0                0
       -7.3100443        16.082098       -49.708302                0                0                0
       -4.3860266        16.082098       -49.708302                0                0                0
       -1.4620089        16.082098       -49.708302                0                0                0
        1.4620089        16.082098       -49.708302                0                0                0
        4.3860266        16.082098       -49.708302                0                0                0
        7.3100443        16.082098       -49.708302                0                0                0
        10.234062        16.082098       -49.708302                0                0                0
         13.15808        16.082098       -49.708302                0                0                0
        16.082098        16.082098       -49.708302                0                0                0
        19.006115        16.082098       -49.708302                0                0                0
        21.930133        16.082098       -49.708302                0                0                0
        24.854151        16.082098       -49.708302                0                0                0
       -24.854151        19.006115       -49.708302                0                0                0
       -21.930133        19.006115       -49.708302                0                0                0
       -19.006115        19.006115       -49.708302                0                0                0
       -16.082098        19.006115       -49.708302                0                0                0
        -13.15808        19.006115       -49.708302                0                0                0
       -10.234062        19.006115       -49.708302                0                0                0
       -7.3100443        19.006115       -49.708302                0                0                0
       -4.3860266        19.006115       -49.708302                0                0                0
       -1.4620089        19.006115       -49.708302                0                0                0
        1.4620089        19.006115       -49.708302                0                0                0
        4.3860266        19.006115       -49.708302                0                0                0
        7.3100443        19.006115       -49.708302                0                0                0
        10.234062        19.006115       -49.708302                0                0                0
         13.15808        19.006115       -49.708302                0                0                0
        16.082098        19.006115       -49.708302                0                0                0
        19.006115        19.006115       -49.708302                0                0                0
        21.930133        19.006115       -49.708302                0                0                0
        24.854151        19.006115       -49.708302                0                0                0
       -24.854151        21.930133       -49.708302                0                0                0
       -21.930133        21.930133       -49.708302                0                0                0
       -19.006115        21.930133       -49.708302                0                0                0
       -16.082098        21.930133       -49.708302                0                0                0
        -13.15808        21.930133       -49.708302                0                0                0
       -10.234062        21.930133       -49.708302                0                0                0
       -7.3100443        21.930133       -49.708302                0                0                0
       -4.3860266        21.930133       -49.708302                0                0                0
       -1.4620089        21.930133       -49.708302                0                0                0
        1.4620089        21.930133       -49.708302                0                0                0
        4.3860266        21.930133       -49.708302                0                0                0
        7.3100443        21.930133       -49.708302                0                0                0
        10.234062        21.930133       -49.708302                0                0                0
         13.15808        21.930133       -49.708302                0                0                0
        16.082098        21.930133       -49.708302                0                0                0
        19.006115        21.930133       -49.708302                0                0                0
        21.930133        21.930133       -49.708302                0                0                0
        24.854151        21.930133       -49.708302                0                0                0
       -24.854151        24.854151       -49.708302                0                0                0
       -21.930133        24.854151       -49.708302                0                0                0
       -19.006115        24.854151       -49.708302                0                0                0
       -16.082098        24.854151       -49.708302                0                0                0
        -13.15808        24.854151       -49.708302                0                0                0
       -10.234062        24.854151       -49.708302                0                0                0
       -7.3100443        24.854151       -49.708302                0                0                0
       -4.3860266        24.854151       -49.708302                0                0                0
